chr	pos	pos2	CpGsite	mean_contr_0YFU	mean_dec_0YFU	mean_contr_16YFU	mean_dec_16YFU	p_0YFU	p_16YFU	p_control	p_decline	Gene
chr5	141355190	141355192	cg23930711	0.573120232105726	0.572204059634978	0.594707120088691	0.585767740360973	0.960033925226164	0.628680655258224	0.270332095828712	0.432639913000885	PCDHGA4;PCDHGA4;PCDHGA2;PCDHGA1;PCDHGB1;PCDHGA3
chr5	141365415	141365417	cg15829642	0.679432753673436	0.661487024267518	0.677586229252592	0.667053945817467	0.156442535745301	0.53101450343657	0.911759195918011	0.660266928343813	PCDHGA4;PCDHGA2;PCDHGA5;PCDHGB2;PCDHGA1;PCDHGB1;PCDHGA3;PCDHGA5
chr5	141513109	141513111	cg00076195	0.241788736909305	0.18492920030303	0.193519011312123	0.188177336196454	0.00464505837855368	0.781328829098434	0.0266832674221585	0.848345531712728	
chr5	140863715	140863717	cg13298827	0.74596238000792	0.749441122237545	0.747755189874563	0.754143651832467	0.274975989183295	0.0861296350232591	0.571634073223304	0.202771940220533	PCDHA6;PCDHA2;PCDHA1;PCDHA9;PCDHA7;PCDHA1;PCDHA6;PCDHA5;PCDHA10;PCDHA3;PCDHA4;PCDHA10;PCDHA8
chr5	141407936	141407938	cg18617005	0.180993270865488	0.17777907658423	0.180155560860347	0.168959307047011	0.819860643720219	0.415213016509692	0.957065187405886	0.463760155004112	PCDHGA4;PCDHGA6;PCDHGA9;PCDHGA1;PCDHGA8;PCDHGA5;PCDHGB1;PCDHGB6;PCDHGB4;PCDHGA3;PCDHGA2;PCDHGA7;PCDHGB2;PCDHGB6;PCDHGB5;PCDHGB3
chr5	141320881	141320883	cg15028904	0.0615417878729523	0.0617615134149422	0.0612971575866142	0.0646370640234933	0.959618781539341	0.644375465916593	0.959667117863453	0.677609339390576	TAF7
chr5	141431237	141431239	cg22151446	0.254900474908777	0.243773460946578	0.266121770006216	0.253154541627614	0.561616174519862	0.574129064334145	0.614091534617163	0.640719384231633	PCDHGA4;PCDHGA11;PCDHGA11;PCDHGA9;PCDHGA1;PCDHGB1;PCDHGB6;PCDHGA12;PCDHGB3;PCDHGB7;PCDHGA6;PCDHGA8;PCDHGA10;PCDHGA12;PCDHGA5;PCDHGB4;PCDHGA3;PCDHGA2;PCDHGA7;PCDHGB2;PCDHGB5
chr5	141135194	141135196	cg03282693	0.182011962731177	0.178616355392925	0.188965634228412	0.182947772622439	0.735001403919043	0.602655407373844	0.548951442655025	0.664697314363063	PCDHB5
chr5	140827874	140827876	cg02004851	0.549824947487204	0.538143372087659	0.552711764429933	0.533723552004038	0.334204898528574	0.277201275471232	0.858829045033286	0.744025120322455	PCDHA2;PCDHA1;PCDHA1;PCDHA6;PCDHA5;PCDHA6;PCDHA3;PCDHA4;PCDHA6
chr5	141383014	141383016	cg22861116	0.463095849682341	0.470577315758479	0.463015991611191	0.473547947329908	0.596713949146368	0.542077266384597	0.99565392812099	0.859519429855895	PCDHGA4;PCDHGA7;PCDHGA6;PCDHGA1;PCDHGA5;PCDHGB1;PCDHGA3;PCDHGA2;PCDHGB2;PCDHGA7;PCDHGB3
